Body,Affiliation 1,Activity 1,Affiliation 2,Activity 2,Affiliation 3,Activity 3,Affiliation 4,Activity 4,Affiliation 5,Activity 5,Affiliation 6,Activity 6,Affiliation 7,Activity 7,Affiliation 8,Activity 8,Affiliation 9,Activity 9,Affiliation 10,Activity 10,Affiliation 11,Activity 11,Affiliation 12,Activity 12,Affiliation 13,Activity 13,Affiliation 14,Activity 14,Affiliation 15,Activity 15,Affiliation 16,Activity 16,Affiliation 17,Activity 17,Affiliation 18,Activity 18,Affiliation 19,Activity 19,Affiliation 20,Activity 20,,,,
University of Cambridge,,,,,,,,,,,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,,,,,,,,,,,EMPERIE,Epidemiology,,,,,,,,,,,,
University of Oxford,,,,,,,,,,,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,ISARIC,Information Sharing,PREPARE,Clinical Trials,,,,,,,EMPERIE,Epidemiology,,,,,,,,,,,,
Health Protection Agency,,,,,,,,,,,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Forces Institute of Tropical Medicine,,,,,,,,,,,Afircan meningococcal carriage Consortium,Epidemiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfizer,,,,,,,,,,,,,COHRED,Capcity Building,,,,,,,,,,,,,,,PACRA,Clinical Trials,,,,,,,,,,,,,,
Red Iberoamericana Ministerial de Aprendizaje e Investigacio en Salud,,,,,,,,,,,,,COHRED,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Network for Demographic Evaluation of Populations and their Health in Developing Countries,,,,,,,,,,,,,COHRED,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Partnership for Africa's Development,,,,,,,,,,,,,COHRED,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Bank Group,,,,,,,,,,,,,COHRED,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of the Western Cap,,,,,,,,,,,,,COHRED,Capcity Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotechnology Centre of the University of Yaounde,,,,,,,,,,,,,,,GABRIEL,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerging Pathogens Laboratory in France,,,,,,,,,,,,,,,GABRIEL,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institut Oswaldo Cruz,,,,,,,,,,,,,,,GABRIEL,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolian Academy of Medical Sciences,,,,,,,,,,,,,,,GABRIEL,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre d'Infectiologie Christophe Mérieux in Laos,,,,,,,,,,,,,,,GABRIEL,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre Charles Mérieux in Madagascar,,,,,,,,,,,,,,,GABRIEL,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre Charles Mérieux in Mali,,,,,,,,,,,,,,,GABRIEL,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Health Sciences of Cambodia,,,,,,,,,,,,,,,GABRIEL,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Saint-Joseph of Lebanon,,,,,,,,,,,,,,,GABRIEL,Laboratory Methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilimandjaro Clinical Resaerch Institute,,,,,,,,,,,,,,,,,EACCR,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya Medical Research Institute,,,,,,,,,,,,,,,,,EACCR,Capacity Building,,,ISARIC,Information Sharing,,,,,,,,,,,,,,,,,,,,,,
Infectious Disease Institute of Mulago,,,,,,,,,,,,,,,,,EACCR,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,
National Institute for Medical Research of Muhimbili,,,,,,,,,,,,,,,,,EACCR,Capacity Building,,,,,,,,,,,,,,,,,,,EMLab,Laboratory Methods,,,,,,
Kenya AIDS Vaccine Initiative,,,,,,,,,,,,,,,,,EACCR,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,
Ifakara Health Research and Development Centre,,,,,,,,,,,,,,,,,EACCR,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Institute for Tropical Medicine of Philippines,,,,,,,,,,,,,,,,,,,NIH Tropical Research Centres,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,
Federal University of Bahia,,,,,,,,,,,,,,,,,,,NIH Tropical Research Centres,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,
Foundation for Research Development of Brazil,,,,,,,,,,,,,,,,,,,NIH Tropical Research Centres,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,
Banaras Hindu University,,,,,,,,,,,,,,,,,,,NIH Tropical Research Centres,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,
Khon Kaen University,,,,,,,,,,,,,,,,,,,NIH Tropical Research Centres,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,
University of Bamako,,,,,,,,,,,,,,,,,,,NIH Tropical Research Centres,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,
Fundacao Faculdade De Medicina,,,,,,,,,,,,,,,,,,,NIH Tropical Research Centres,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,
Cvil Association of the Amazon Jungle,,,,,,,,,,,,,,,,,,,NIH Tropical Research Centres,Capacity Building,,,,,,,,,,,,,,,,,,,,,,,,
Acute Care for Africa Research and Training,,,,,,,,,,,,,,,,,,,,,ISARIC,Information Sharing,,,,,,,,,,,,,,,,,,,,,,
Australian Society for Infectious Disease,,,,,,,,,,,,,,,,,,,,,ISARIC,Information Sharing,,,,,,,,,,,,,,,,,,,,,,
Australian and New Zealand Intensive Care Society,,,,,,,,,,,,,,,,,,,,,ISARIC,Information Sharing,,,,,,,,,,,,,,,,,,,,,,
